GEOID,county,TotalPopOver3InSchool,TotalOver3inK12,TotalOver3inK12Private
34001,"Atlantic County, New Jersey",64709,42287,2944
34003,"Bergen County, New Jersey",226202,149286,18904
34005,"Burlington County, New Jersey",104585,70254,6960
34007,"Camden County, New Jersey",124209,84314,9699
34009,"Cape May County, New Jersey",16739,12031,1051
34011,"Cumberland County, New Jersey",36331,26657,1008
34013,"Essex County, New Jersey",207973,137187,11235
34015,"Gloucester County, New Jersey",72628,47427,4421
34017,"Hudson County, New Jersey",149503,88736,7697
34019,"Hunterdon County, New Jersey",28902,20223,2016
34021,"Mercer County, New Jersey",97552,58635,5170
34023,"Middlesex County, New Jersey",216530,131616,9856
34025,"Monmouth County, New Jersey",152161,102453,12273
34027,"Morris County, New Jersey",121470,80962,8017
34029,"Ocean County, New Jersey",149163,103603,35471
34031,"Passaic County, New Jersey",131217,87938,8559
34033,"Salem County, New Jersey",13767,9966,892
34035,"Somerset County, New Jersey",82455,55673,5968
34037,"Sussex County, New Jersey",31989,21854,1934
34039,"Union County, New Jersey",139130,94127,7700
34041,"Warren County, New Jersey",24970,16123,1324
