X,Y,OBJECTID,NonAssetID,Owner,MaintResp,LocationID,ImagePath,BikeParkType,NumberRacks,NumberSpaces,InStreet
-13651718.3646,5709959.2659,1,0012-0000008,PdxTrans,PdxTrans,BF17704,,CORRAL,9,18,Y
-13653067.9969,5709966.0945,2,0012-0000009,PdxTrans,PdxTrans,BF17687,,CORRAL,9,18,Y
-13652519.2351,5709963.13,3,0012-0000010,PdxTrans,PdxTrans,BF17692,,CORRAL,9,18,Y
-13653721.7635,5709982.4971,4,0012-0000011,PdxTrans,PdxTrans,BF17611,,CORRAL,9,18,Y
-13652289.9852,5709974.1317,5,0012-0000012,PdxTrans,PdxTrans,BF17624,,CORRAL,9,18,Y
-13653027.6147,5695025.4448,6,0012-0000013,PdxTrans,PdxTrans,BF52291,,CORRAL,9,18,Y
-13654196.351,5704252.6507,7,0012-0000014,PdxTrans,PdxTrans,BF16770,,CORRAL,9,18,Y
-13654410.1331,5704197.0924,8,0012-0000015,PdxTrans,PdxTrans,BF39540,,CORRAL,9,18,Y
-13654083.5186,5704195.0667,9,0012-0000016,PdxTrans,PdxTrans,BF41816,,CORRAL,12,24,Y
-13654100.1803,5703991.6517,10,0012-0000018,PdxTrans,PdxTrans,BF42284,,CORRAL,6,12,Y
-13651626.859,5710540.8362,11,0012-0000019,PdxTrans,PdxTrans,BF22665,,CORRAL,9,18,Y
-13645799.0666,5703634.6336,12,0012-0000021,PdxTrans,PdxTrans,BF52502,,CORRAL,6,12,Y
-13656348.7423,5710520.945,13,0012-0000024,PdxTrans,PdxTrans,BF6036,,CORRAL,6,12,Y
-13656136.1988,5709615.5626,14,0012-0000025,PdxTrans,PdxTrans,BF1112,,CORRAL,9,18,Y
-13650630.6327,5703203.5449,15,0012-0000027,PdxTrans,PdxTrans,BF42446,,CORRAL,6,12,Y
-13653492.174,5703309.0559,16,0012-0000028,PdxTrans,PdxTrans,BF49828,,CORRAL,9,18,Y
-13653716.6433,5703662.1473,17,0012-0000029,PdxTrans,PdxTrans,BF52452,,CORRAL,12,24,Y
-13665070.9777,5714990.0171,18,0012-0000030,PdxTrans,PdxTrans,BF5524,,CORRAL,9,18,Y
-13654666.262,5710202.7331,19,0012-0000031,PdxTrans,PdxTrans,BF26124,,CORRAL,6,12,Y
-13655179.9711,5709262.5231,20,0012-0000032,PdxTrans,PdxTrans,BF25749,,CORRAL,9,18,Y
-13649005.1793,5702484.0685,21,0012-0000033,PdxTrans,PdxTrans,BF46386,,CORRAL,9,18,Y
-13651681.784,5710554.2153,22,0012-0000034,PdxTrans,PdxTrans,BF22585,,CORRAL,9,18,Y
-13656202.106,5708868.5191,23,0012-0000035,PdxTrans,PdxTrans,BF7758,,CORRAL,12,24,Y
-13656162.4332,5708456.3879,24,0012-0000036,PdxTrans,PdxTrans,BF1045,,CORRAL,6,12,Y
-13651082.2757,5703189.1474,25,0012-0000037,PdxTrans,PdxTrans,BF42499,,CORRAL,11,22,Y
-13651194.7141,5703189.4193,26,0012-0000038,PdxTrans,PdxTrans,BF42499,,CORRAL,11,22,Y
-13656818.8558,5704084.3096,27,0012-0000039,PdxTrans,PdxTrans,BF65955,,CORRAL,8,16,Y
-13656919.2235,5703425.5141,28,0012-0000040,PdxTrans,PdxTrans,BF58167,,CORRAL,10,20,Y
-13656890.629,5704338.447,29,0012-0000041,PdxTrans,PdxTrans,BF28804,,CORRAL,12,24,Y
-13655228.5267,5710528.594,30,0012-0000043,PdxTrans,PdxTrans,BF9203,,CORRAL,12,24,Y
-13651558.6431,5709970.1544,31,0012-0000046,PdxTrans,PdxTrans,BF17637,,CORRAL,10,20,Y
-13649366.6538,5702504.0441,32,0012-0000047,PdxTrans,PdxTrans,BF46314,,CORRAL,9,18,Y
-13655179.0027,5708648.5476,33,0012-0000048,PdxTrans,PdxTrans,BF19652,,CORRAL,6,12,Y
-13655220.8553,5708660.6068,34,0012-0000049,PdxTrans,PdxTrans,BF3026,,CORRAL,10,20,Y
-13651878.3783,5704799.0412,35,0012-0000050,PdxTrans,PdxTrans,BF20310,,CORRAL,12,24,Y
-13651926.919,5704075.7937,36,0012-0000051,PdxTrans,PdxTrans,BF35719,,CORRAL,9,18,Y
-13651917.7035,5703848.0039,37,0012-0000052,PdxTrans,PdxTrans,BF35673,,CORRAL,9,18,Y
-13651910.8544,5704357.6462,38,0012-0000053,PdxTrans,PdxTrans,BF13034,,CORRAL,9,18,Y
-13651909.6065,5704466.8084,39,0012-0000054,PdxTrans,PdxTrans,BF13035,,CORRAL,6,12,Y
-13656631.2725,5703691.0151,40,0012-0000056,PdxTrans,PdxTrans,BF59178,,CORRAL,6,12,Y
-13652629.7607,5701327.3035,41,0012-0000058,PdxTrans,PdxTrans,BF35311,,CORRAL,9,18,Y
-13654855.2378,5707078.1852,42,0012-0000059,PdxTrans,PdxTrans,BF24821,,CORRAL,12,24,Y
-13652838.5267,5702480.9075,43,0012-0000060,PdxTrans,PdxTrans,BF44560,,OASIS,10,20,N
-13650504.5011,5702519.9998,44,0012-0000062,PdxTrans,PdxTrans,BF36770,,OASIS,10,20,N
